Goal Code,Goal Label,Goal Description ,Target Code,Target Description,Indicator Code,Indicator Reference,Indicator Description,Series Release,Tags,Series Code,Series Description,Geographic Area Code,Geographic Area Name,Geographic Area Level,Parent Geographic Area Code,Parent Geographic Area Name,Geographic Area Type,X,Y,ISO Code,Is UN Member,Has Country Proile,Unit Multiplier,Units Code,Units Desc,Time Series Id,Time Series Keys,Number of Years Available,Earliest Year Available,Latest Year Available,Available Years,Value 2000,Value 2001,Value 2002,Value 2003,Value 2004,Value 2005,Value 2006,Value 2007,Value 2008,Value 2009,Value 2010,Value 2011,Value 2012,Value 2013,Value 2014,Value 2015,Value 2016,Value 2017,Value 2018,Value 2019,Latest Value,Footnotes,Nature,ObjectId,x2,y2
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",C020101,2.1.1,Prevalence of undernourishment,2021.Q2.G.03,"['hunger', 'malnutrition', 'food shortage', 'health']",SN_ITK_DEFC,Prevalence of undernourishment (%),4,Afghanistan,5,127,Southern Asia (excluding India),Country,66.02688198,33.83160199,AFG,1,1,,PT,Percentage,SN_ITK_DEFC,,18,2001,2018,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",,47.8,45.7,40.7,38.1,36.2,33.5,30,26.4,24.9,24.1,25,27.2,26.5,26.4,25.8,27.5,28.9,29.9,,29.9,[2018]: Estimates are based on projected values,E: Estimated data,1,7350078.88068117,4006212.63896632
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",C020101,2.1.1,Prevalence of undernourishment,2021.Q2.G.03,"['hunger', 'malnutrition', 'food shortage', 'health']",SN_ITK_DEFC,Prevalence of undernourishment (%),4,Afghanistan,5,127,Southern Asia (excluding India),Country,66.02688198,33.83160199,AFG,1,1,,PT,Percentage,SN_ITK_DEFC,,18,2001,2018,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",,47.8,45.7,40.7,38.1,36.2,33.5,30,26.4,24.9,24.1,25,27.2,26.5,26.4,25.8,27.5,28.9,29.9,,29.9,[2018]: Estimates are based on projected values,E: Estimated data,2,7350078.88068117,4006212.63896632
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",C020101,2.1.1,Prevalence of undernourishment,2021.Q2.G.03,"['hunger', 'malnutrition', 'food shortage', 'health']",SN_ITK_DEFC,Prevalence of undernourishment (%),248,Åland Islands,5,154,Northern Europe,Country,19.80945969,60.1544901,ALA,0,1,,PT,Percentage,SN_ITK_DEFC,,18,2001,2018,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NaN = A figure was not provided.,_X: Data nature not available,3,2205178.96558068,8434214.01877879
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",C020101,2.1.1,Prevalence of undernourishment,2021.Q2.G.03,"['hunger', 'malnutrition', 'food shortage', 'health']",SN_ITK_DEFC,Prevalence of undernourishment (%),8,Albania,5,39,Southern Europe,Country,20.06660928,41.13897007,ALB,1,1,,PT,Percentage,SN_ITK_DEFC,,18,2001,2018,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",,5,6.1,7.5,8.7,8.9,8.8,8.3,7.3,6,5,4.1,3.5,3.9,4.5,4.9,4.5,3.9,3.6,,3.6,[2018]: Estimates are based on projected values,E: Estimated data,4,2233804.72699718,5032861.37750251
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",C020101,2.1.1,Prevalence of undernourishment,2021.Q2.G.03,"['hunger', 'malnutrition', 'food shortage', 'health']",SN_ITK_DEFC,Prevalence of undernourishment (%),12,Algeria,4,15,Northern Africa,Country,2.678164227,28.15940032,DZA,1,1,,PT,Percentage,SN_ITK_DEFC,,18,2001,2018,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",,8,7.4,7,7,6.7,6.4,6,5.6,5.2,4.5,4,3.5,3.3,3.3,3.2,3.2,3.1,2.8,,2.8,[2018]: Estimates are based on projected values,E: Estimated data,5,298131.878010401,3269085.42780677
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",C020101,2.1.1,Prevalence of undernourishment,2021.Q2.G.03,"['hunger', 'malnutrition', 'food shortage', 'health']",SN_ITK_DEFC,Prevalence of undernourishment (%),16,American Samoa,4,543,Oceania (exc. Australia and New Zealand),Country,-170.7187269,-14.30587306,ASM,0,1,,PT,Percentage,SN_ITK_DEFC,,18,2001,2018,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NaN = A figure was not provided.,_X: Data nature not available,6,-19004321.7473839,-1609332.10636885
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",C020101,2.1.1,Prevalence of undernourishment,2021.Q2.G.03,"['hunger', 'malnutrition', 'food shortage', 'health']",SN_ITK_DEFC,Prevalence of undernourishment (%),16,American Samoa,4,543,Oceania (exc. Australia and New Zealand),Country,-170.7187269,-14.30587306,ASM,0,1,,PT,Percentage,SN_ITK_DEFC,,18,2001,2018,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NaN = A figure was not provided.,_X: Data nature not available,7,-19004321.7473839,-1609332.10636885
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",C020101,2.1.1,Prevalence of undernourishment,2021.Q2.G.03,"['hunger', 'malnutrition', 'food shortage', 'health']",SN_ITK_DEFC,Prevalence of undernourishment (%),20,Andorra,5,39,Southern Europe,Country,1.576257417,42.54548611,AND,1,1,,PT,Percentage,SN_ITK_DEFC,,18,2001,2018,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NaN = A figure was not provided.,_X: Data nature not available,8,175468.173019561,5243044.10736351
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",C020101,2.1.1,Prevalence of undernourishment,2021.Q2.G.03,"['hunger', 'malnutrition', 'food shortage', 'health']",SN_ITK_DEFC,Prevalence of undernourishment (%),24,Angola,4,17,Middle Africa,Country,17.57817062,-12.33724746,AGO,1,1,,PT,Percentage,SN_ITK_DEFC,,18,2001,2018,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",,67.5,63.2,58.7,55.1,52.2,49.4,46.2,43,40.3,37.9,37,35.4,29.2,23.1,19,19.5,19.4,18.6,,18.6,[2018]: Estimates are based on projected values,E: Estimated data,9,1956793.00249568,-1384113.5910364
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,"By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",C020101,2.1.1,Prevalence of undernourishment,2021.Q2.G.03,"['hunger', 'malnutrition', 'food shortage', 'health']",SN_ITK_DEFC,Prevalence of undernourishment (%),660,Anguilla,4,29,Caribbean,Country,-63.05651612,18.21525315,AIA,0,1,,PT,Percentage,SN_ITK_DEFC,,18,2001,2018,"[2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NaN = A figure was not provided.,_X: Data nature not available,10,-7019419.26567625,2062758.99642159
