algorithm,metric,m=100,m=657,m=1214,m=1771,m=2328,m=2885,m=3442,m=4000
Connectivity,time,0.006754636764526367,0.0016503334045410156,0.0020904541015625,0.002671957015991211,0.003214597702026367,0.0037925243377685547,0.00438380241394043,0.00503849983215332
Connectivity,memory,5.189176559448242,0.29138946533203125,0.48209381103515625,0.6112823486328125,0.8024215698242188,0.9434967041015625,1.0774307250976562,1.2518081665039062
Connectivity,edge_count,82,99,99,99,99,99,99,99
Connectivity,components,18,1,1,1,1,1,1,1
Spanner (alpha=3),time,0.006880283355712891,0.026812076568603516,0.041208744049072266,0.05514883995056152,0.07194018363952637,0.09049272537231445,0.11078262329101562,0.131913423538208
Spanner (alpha=3),memory,0.05595684051513672,0.09471893310546875,0.09609222412109375,0.08355712890625,0.0706939697265625,0.06888580322265625,0.0642852783203125,0.063232421875
Spanner (alpha=3),edge_count,98,283,288,226,164,140,116,110
MST (Cycle),time,0.0911257266998291,1.2190947532653809,2.300692558288574,3.443361282348633,4.479041814804077,5.561365604400635,7.124322414398193,8.098641395568848
MST (Cycle),memory,0.12762451171875,0.1757965087890625,0.16931915283203125,0.17176055908203125,0.1764984130859375,0.182220458984375,0.18206787109375,0.17787933349609375
MST (Cycle),edge_count,82,99,99,99,99,99,99,99
MST (Cycle),total_weight,382.9979831265198,172.99145257564126,139.59285925448023,130.1879971463923,122.6458607642353,117.13317215676463,113.94708186129947,111.91850252207401
MST (Cycle),components,18,1,1,1,1,1,1,1
Greedy Matching,time,0.0005795955657958984,0.0008449554443359375,0.0009889602661132812,0.0011742115020751953,0.0013189315795898438,0.0017125606536865234,0.0015606880187988281,0.0018968582153320312
Greedy Matching,memory,0.0402679443359375,0.05194854736328125,0.053375244140625,0.05385589599609375,0.05385589599609375,0.05385589599609375,0.05385589599609375,0.05385589599609375
Greedy Matching,edge_count,34,46,49,50,50,50,50,50
Greedy Matching,total_weight,196.46996769857498,258.8655871829384,271.63070053815056,278.9728274027804,278.9728274027804,278.9728274027804,278.9728274027804,278.9728274027804
Greedy W-Matching,time,0.0018744468688964844,0.008238792419433594,0.014324426651000977,0.02017068862915039,0.026620864868164062,0.03186655044555664,0.044416189193725586,0.04480433464050293
Greedy W-Matching,memory,0.0456085205078125,0.051727294921875,0.05364227294921875,0.06035614013671875,0.06035614013671875,0.06035614013671875,0.06035614013671875,0.06035614013671875
Greedy W-Matching,edge_count,31,44,48,48,48,48,48,48
Greedy W-Matching,total_weight,230.9439662916249,390.72851192072443,432.75350192272435,443.9099374481817,448.04576448511983,454.19887392350853,452.5853479210633,451.7993614277438
Triangle Est (AMS),time,0.009319543838500977,0.059244394302368164,0.10905623435974121,0.1632833480834961,0.22572541236877441,0.26439714431762695,0.3551623821258545,0.3736155033111572
Triangle Est (AMS),memory,0.011669158935546875,0.015972137451171875,0.020397186279296875,0.024669647216796875,0.02880859375,0.0332794189453125,0.03728485107421875,0.0416107177734375
Triangle Est (AMS),F1_exact,9800,64386,118972,173558,228144,282730,337316,392000
Triangle Est (AMS),F2_edges_est,67.68,350.44,902.88,1947.4,2332.88,2431.56,3979.68,2753.84
Triangle Est (AMS),Note,"Triangle estimate requires F0/F2 over triples, not edges.","Triangle estimate requires F0/F2 over triples, not edges.","Triangle estimate requires F0/F2 over triples, not edges.","Triangle estimate requires F0/F2 over triples, not edges.","Triangle estimate requires F0/F2 over triples, not edges.","Triangle estimate requires F0/F2 over triples, not edges.","Triangle estimate requires F0/F2 over triples, not edges.","Triangle estimate requires F0/F2 over triples, not edges."
MST (Kruskal Offline),time,0.0008296966552734375,0.0016326904296875,0.002093791961669922,0.0028667449951171875,0.0034134387969970703,0.004116535186767578,0.0051457881927490234,0.005521297454833984
MST (Kruskal Offline),memory,0.0528106689453125,0.0665130615234375,0.07485198974609375,0.08335113525390625,0.09239959716796875,0.1094207763671875,0.12654876708984375,0.14344024658203125
MST (Kruskal Offline),edge_count,82,99,99,99,99,99,99,99
MST (Kruskal Offline),total_weight,382.9979831265197,172.99145257564126,139.59285925448026,130.18799714639226,122.64586076423525,117.13317215676462,113.94708186129948,111.918502522074
MST (Kruskal Offline),components,18,1,1,1,1,1,1,1
Exact Triangles,time,nan,nan,nan,nan,nan,nan,nan,nan
Exact Triangles,memory,nan,nan,nan,nan,nan,nan,nan,nan
Triangle Est (Moment Offline),time,nan,nan,nan,nan,nan,nan,nan,nan
Triangle Est (Moment Offline),memory,nan,nan,nan,nan,nan,nan,nan,nan
